,name,classes,samples_per_class,samples_total,dimensionality,dr_name,dr_learning,dr_transformation,dr_structure,clf_name,clf_accuracy,clf_kappa,clf_balanced_accuracy
1,pwLinear,2,"{'P': 103, 'N': 97}",200,10,Sup K-ISOMAP,learning.supervised,transformation.nonlinear,structure.local_structure,KNN,1.0,1.0,1.0
2,pwLinear,2,"{'P': 103, 'N': 97}",200,10,Sup K-ISOMAP,learning.supervised,transformation.nonlinear,structure.local_structure,SMV,1.0,1.0,1.0
3,pwLinear,2,"{'P': 103, 'N': 97}",200,10,Sup K-ISOMAP,learning.supervised,transformation.nonlinear,structure.local_structure,Naive Bayes,1.0,1.0,1.0
4,pwLinear,2,"{'P': 103, 'N': 97}",200,10,Sup K-ISOMAP,learning.supervised,transformation.nonlinear,structure.local_structure,Decision Tree,1.0,1.0,1.0
5,pwLinear,2,"{'P': 103, 'N': 97}",200,10,Sup K-ISOMAP,learning.supervised,transformation.nonlinear,structure.local_structure,Quadratic Discriminant,1.0,1.0,1.0
6,pwLinear,2,"{'P': 103, 'N': 97}",200,10,Sup K-ISOMAP,learning.supervised,transformation.nonlinear,structure.local_structure,MPL Classifier,1.0,1.0,1.0
7,pwLinear,2,"{'P': 103, 'N': 97}",200,10,Sup K-ISOMAP,learning.supervised,transformation.nonlinear,structure.local_structure,Gaussian Process,1.0,1.0,1.0
8,pwLinear,2,"{'P': 103, 'N': 97}",200,10,Sup K-ISOMAP,learning.supervised,transformation.nonlinear,structure.local_structure,Random Forest Classifier,1.0,1.0,1.0
9,pwLinear,2,"{'P': 103, 'N': 97}",200,10,LDAcompNone,learning.unsupervised,transformation.linear,structure.global_structure,KNN,0.85,0.7,0.85
10,pwLinear,2,"{'P': 103, 'N': 97}",200,10,LDAcompNone,learning.unsupervised,transformation.linear,structure.global_structure,SMV,0.88,0.76,0.88
11,pwLinear,2,"{'P': 103, 'N': 97}",200,10,LDAcompNone,learning.unsupervised,transformation.linear,structure.global_structure,Naive Bayes,0.87,0.74,0.87
12,pwLinear,2,"{'P': 103, 'N': 97}",200,10,LDAcompNone,learning.unsupervised,transformation.linear,structure.global_structure,Decision Tree,0.83,0.6599999999999999,0.8300000000000001
13,pwLinear,2,"{'P': 103, 'N': 97}",200,10,LDAcompNone,learning.unsupervised,transformation.linear,structure.global_structure,Quadratic Discriminant,0.87,0.74,0.87
